log_path,run_dir,reported_epoch,max_steps,save_strategy,status
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_429.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_blockrandt_lcdrive,1.0,-1,,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/prunedexp_436.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_prunedexpert_10b_lcdrive,0.21,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_446.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_blockfr_lcdrive,0.21,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_453.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_4b_blockfr_lcdrive,0.21,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_462.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2b2cam_lcdrive,0.02,30,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_470.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2b2cam_lcdrive,3.0,-1,steps,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_475.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bspan_lcdrive,1.0,-1,steps,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_477.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bspan_e2_lcdrive,1.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_479.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bspan_lcdrive,1.67,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_480.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bspan_e2_lcdrive,2.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_482.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bspan_lcdrive,1.67,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_483.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bspan_e3_lcdrive,3.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_485.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bspan_lcdrive,1.67,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_486.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bspan_e4_lcdrive,4.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_488.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bdepth_lcdrive,1.67,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_489.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bdepth_e2_lcdrive,2.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_492.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bdepth_lcdrive,1.67,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_494.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bdepth_ladder_add_e2_lcdrive,2.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_496.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bmix_m7w1.0_lcdrive,1.67,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_497.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bmix_m7w1.0_e3_lcdrive,3.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_507.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_block2bspan_lcdrive,2.5,30,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_508.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_field2b_lcdrive,1.67,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_509.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_field2b_lcdrive,1.67,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_510.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_field2b_lcdrive,1.0,-1,steps,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_514.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_nav2bmix_m7w1.0_lcdrive,1.05,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_515.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_nav2bmix_m7w1.0_lcdrive,1.88,60,no,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_517.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_nav2bmix_m7w1.0_lcdrive,5.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/eostrain_523.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_eos_2b_nav_lcdrive,0.08,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/eostrain_524.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_eos_2b_nav_lcdrive,1.25,40,no,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cd_526.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_expert_2cam_nav_lcdrive,0.54,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cd_527.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_expert_2cam_nav_lcdrive,2.32,30,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cd_528.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_expert_2cam_nav_lcdrive,2.32,30,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cd_529.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_expert_2cam_nav_lcdrive,1.0,-1,steps,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/eostrain_525.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_eos_2b_nav_lcdrive,5.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cd_538.out,/tmp/alpamayo_cd_fixed_smoke,0.01,1,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cd_540.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_expert_2cam_nav_lcdrive_fixed_20260825_bs32,1.0,-1,steps,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_541.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_nav2bmix_m7w1.0_e6_efficient_lcdrive,6.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cd_544.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_expert_2cam_nav_lcdrive_fixed_20260825_bs32_stage2,1.0,-1,steps,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_546.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_nav2bmix_m7w1.0_e5_clean_maskfix_lcdrive,5.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cdpruned_552.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_expert_pruned28_2cam_nav_lcdrive_bs32_e2_20260826,2.0,-1,steps,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/eostrain_559.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_eos_2b_nav_e3_clean_maskfix_e2_lcdrive,2.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cdeos2b_572.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_eos2b_smoke2_20260827,0.05,2,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cdeos2b_573.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_eos2b_nav_e2_bs32_20260827,2.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cdeos2b_578.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_eos2b_x0gtw0.1_smoke_20260827,0.05,2,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cdeos2b_579.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_eos2b_x0gtw1.0_smoke_20260827,0.05,2,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cdeos2b_580.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_eos2b_x0gtw0.1_nav_e2_bs32_20260827,2.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cdftcache_586.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_eos2b_fullteacher_cache_smoke_20260828,2.0,2,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cdftcache_591.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_eos2b_fullteacher_cache_x0gtw0.1_nav_e2_bs32_20260828,2.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_602.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_mix2bnav_m9w1.0_lcdrive,5.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_608.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_mix2bnav_m9w1.0_plr100.0_lcdrive,5.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/eostrain_617.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_eos_2b_mix_nav_lcdrive,0.08,20,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/kdtrain_612.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_kd_2b_mixpin2bnav_m9w1.0_plr100.0_lcdrive,5.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/eostrain_619.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_eos_2b_mix_nav_lcdrive,5.0,-1,epoch,covered by training inventory
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cdeos2b_629.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_eos2b_mix_endpoint_gt03_nav_e2_SMOKE3,0.05,2,no,excluded: explicit tiny-data smoke
/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/cdeos2b_630.out,/data/achahe/alpamayo-recipes/recipes/alpamayo1_5_distill/training/output_cd_eos2b_mix_endpoint_gt03_nav_e2,2.0,-1,epoch,covered by training inventory
